Model,Dataset,Accuracy
Logistic Regression,Training Set,0.7383458646616541
Logistic Regression,Test Set,0.7964071856287425
Random Forest,Training Set,1.0
Random Forest,Test Set,0.8802395209580839
Tuned Random Forest,Training Set,0.9789473684210527
Tuned Random Forest,Test Set,0.8622754491017964
SVM,Training Set,0.849624060150376
SVM,Test Set,0.8263473053892215
Tuned Support Vector Machine,Training Set,0.849624060150376
Tuned Support Vector Machine,Test Set,0.8263473053892215
KNN,Training Set,0.8646616541353384
KNN,Test Set,0.8263473053892215
Decision Tree,Training Set,1.0
Decision Tree,Test Set,0.7485029940119761
XGBoost,Training Set,1.0
XGBoost,Test Set,0.8502994011976048
